model,retriever,language,setting_id,dev_reference_variant,devtest_reference_variant,variant,comet22,qe
llama3-8b-instruct,gte,eng_Latn-xho_Latn,llama3-8b-instruct|gte|eng_Latn-xho_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.441586552460203,0.4015551694179241
llama3-8b-instruct,sonar,eng_Latn-hau_Latn,llama3-8b-instruct|sonar|eng_Latn-hau_Latn,original,original,Odev/Odevtest,0.6681018454342963,0.5282147678108554
llama3-8b-instruct,sonar,eng_Latn-hau_Latn,llama3-8b-instruct|sonar|eng_Latn-hau_Latn,original,revised_keep_higher,Odev/Rdevtest,0.6702147749190038,0.5282147678108554
llama3-8b-instruct,sonar,eng_Latn-hau_Latn,llama3-8b-instruct|sonar|eng_Latn-hau_Latn,revised_keep_higher,original,Rdev/Odevtest,0.6696163035723061,0.5274217868805403
llama3-8b-instruct,sonar,eng_Latn-hau_Latn,llama3-8b-instruct|sonar|eng_Latn-hau_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.671487491180303,0.5274217868805403
llama3-8b-instruct,sonar,eng_Latn-plt_Latn,llama3-8b-instruct|sonar|eng_Latn-plt_Latn,original,original,Odev/Odevtest,0.5815326165952701,0.4541731464415199
llama3-8b-instruct,sonar,eng_Latn-plt_Latn,llama3-8b-instruct|sonar|eng_Latn-plt_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5816957822636418,0.4541731464415199
llama3-8b-instruct,sonar,eng_Latn-plt_Latn,llama3-8b-instruct|sonar|eng_Latn-plt_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5928264462606238,0.4609350371561032
llama3-8b-instruct,sonar,eng_Latn-plt_Latn,llama3-8b-instruct|sonar|eng_Latn-plt_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5928933065340453,0.4609350371561032
llama3-8b-instruct,sonar,eng_Latn-som_Latn,llama3-8b-instruct|sonar|eng_Latn-som_Latn,original,original,Odev/Odevtest,0.526275539792809,0.4690634461613041
llama3-8b-instruct,sonar,eng_Latn-som_Latn,llama3-8b-instruct|sonar|eng_Latn-som_Latn,original,revised_keep_higher,Odev/Rdevtest,0.5245664409497981,0.4690634461613041
llama3-8b-instruct,sonar,eng_Latn-som_Latn,llama3-8b-instruct|sonar|eng_Latn-som_Latn,revised_keep_higher,original,Rdev/Odevtest,0.5319987094331636,0.4718759884181701
llama3-8b-instruct,sonar,eng_Latn-som_Latn,llama3-8b-instruct|sonar|eng_Latn-som_Latn,revised_keep_higher,revised_keep_higher,Rdev/Rdevtest,0.5300009752892458,0.4718759884181701
llama3-8b-instruct,sonar,eng_Latn-swh_Latn,llama3-8b-instruct|sonar|eng_Latn-swh_Latn,original,original,Odev/Odevtest,0.73004759677314,0.6896716560064097
llama3-8b-instruct,sonar,eng_Latn-swh_Latn,llama3-8b-instruct|sonar|eng_Latn-swh_Latn,original,revised_keep_higher,Odev/Rdevtest,0.7308491023308911,0.6896716560064097
llama3-8b-instruct,sonar,eng_Latn-swh_Latn,llama3-8b-instruct|sonar|eng_Latn-swh_Latn,revised_keep_higher,original,Rdev/Odevtest,0.7295718203066838,0.6899640129606714
