model_tag,retriever,lang_pair,selector_method,num_samples,avg_demo_xcomet,avg_error_penalty,major_or_critical_demo_ratio,avg_original_rank,topk_overlap,source_semantic_diversity,comet22,delta_comet22_vs_topk
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,quality_only,1012,0.9042874584305781,0.34550411020302396,0.2507411067193676,25.040266798418973,0.1755187747035573,0.5593397872835895,0.6434889550913464,-0.01852980939295923
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,quality_rerank,1012,0.6407231115091871,1.944414938504016,0.8244812252964426,4.595355731225297,0.9563982213438735,0.5561616333450792,0.658453828393824,-0.0035649360904815852
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,random_in_topn,1012,0.6124522379818538,2.0961931233345856,0.8414031620553359,25.485795454545453,0.15847332015810275,0.5683979055976242,0.6412394258668536,-0.02077933861745207
llama3-8b-instruct,bm25,eng_Latn-hau_Latn,retriever_topk,1012,0.6234394999049795,2.011852574624946,0.8285573122529645,4.5,1.0,0.5556092163498442,0.6620187644843056,0.0
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,error_filter,1012,0.6355862875354914,1.6244918667282418,0.8157114624505929,5.787672924901186,0.7749505928853755,0.5578549058628304,0.5902671303025818,0.002137658079504501
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,error_profile_rerank,1012,0.640422934831006,1.5350982257182177,0.7553112648221344,5.406744071146245,0.8247282608695652,0.5564605106333012,0.5892438664148919,0.0011143941918145828
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,low_quality,1012,0.2611433961944058,3.5222473002480976,0.802248023715415,25.649950592885375,0.15180335968379446,0.5665151022052796,0.5543954058185868,-0.033734066404490504
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,quality_only,1012,0.8713187699909267,0.31092243748463,0.37648221343873517,25.1897233201581,0.17057806324110672,0.5667869571921373,0.561604605229358,-0.026524866993719365
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,quality_rerank,1012,0.5755961210634413,1.9144151238334708,0.8220108695652174,4.594614624505929,0.9570158102766798,0.5558015814315022,0.587709994346139,-0.0004194778769383012
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,random_in_topn,1012,0.5516445139531606,2.0499926911389155,0.8207756916996047,25.485795454545453,0.15847332015810275,0.5683979055976242,0.5637775246834331,-0.024351947539644203
llama3-8b-instruct,bm25,eng_Latn-plt_Latn,retriever_topk,1012,0.5599081689646475,2.0074969958702207,0.8231225296442688,4.5,1.0,0.5556092163498442,0.5881294722230773,0.0
llama3-8b-instruct,bm25,eng_Latn-som_Latn,error_filter,1012,0.6434651385981722,1.6923466082655456,0.8520256916996047,6.0455780632411065,0.7427124505928854,0.5592192465209106,0.5214691736069121,-0.0013182421063953065
llama3-8b-instruct,bm25,eng_Latn-som_Latn,error_profile_rerank,1012,0.6326235079421871,1.6896746296050738,0.8042243083003953,5.296072134387352,0.8343626482213439,0.5559137913496783,0.5227332975523981,-5.411816090938881e-05
llama3-8b-instruct,bm25,eng_Latn-som_Latn,low_quality,1012,0.23488500105629384,3.681035264978817,0.825098814229249,25.779150197628457,0.1438982213438735,0.5658258783485359,0.490255272450301,-0.03253214326300646
llama3-8b-instruct,bm25,eng_Latn-som_Latn,quality_only,1012,0.8735230694057442,0.4287047158037007,0.47060276679841895,25.320158102766797,0.16477272727272727,0.5652713105718818,0.5002331696303466,-0.02255424608296086
llama3-8b-instruct,bm25,eng_Latn-som_Latn,quality_rerank,1012,0.573447979635121,2.011534870077583,0.8586956521739131,4.605360671936759,0.9551630434782609,0.555887638178419,0.5243518318495025,0.0015644161361950681
llama3-8b-instruct,bm25,eng_Latn-som_Latn,random_in_topn,1012,0.5453612503665591,2.1715024679124073,0.847949604743083,25.485795454545453,0.15847332015810275,0.5683979055976242,0.497306620091082,-0.02548079562222544
llama3-8b-instruct,bm25,eng_Latn-som_Latn,retriever_topk,1012,0.5555979258789434,2.098997039119197,0.8583250988142292,4.5,1.0,0.5556092163498442,0.5227874157133074,0.0
llama3-8b-instruct,bm25,eng_Latn-swh_Latn,error_filter,1012,0.8488397865147577,0.7313577676224697,0.5544713438735178,5.5040760869565215,0.8139822134387352,0.557348734755984,0.7299138689524101,0.004429708709829949
