language,split,example_id,original_xcomet,retranslated_xcomet,keep_higher_xcomet,improved,kept_original,bottom20_rank
eng_Latn-hau_Latn,devtest,834,0.191899836063385,0.325040966272354,0.325040966272354,1,0,22
eng_Latn-hau_Latn,devtest,830,0.193110600113869,0.346307337284088,0.346307337284088,1,0,23
eng_Latn-hau_Latn,devtest,757,0.193468078970909,0.725045919418335,0.725045919418335,1,0,24
eng_Latn-hau_Latn,devtest,370,0.194160789251328,0.139817357063293,0.194160789251328,0,1,25
eng_Latn-hau_Latn,devtest,498,0.194750145077705,0.208555698394775,0.208555698394775,1,0,26
eng_Latn-hau_Latn,devtest,847,0.197728499770164,0.369742304086685,0.369742304086685,1,0,27
eng_Latn-hau_Latn,devtest,366,0.198493093252182,0.570852756500244,0.570852756500244,1,0,28
eng_Latn-hau_Latn,devtest,676,0.19959431886673,0.533461809158325,0.533461809158325,1,0,29
eng_Latn-hau_Latn,devtest,496,0.20058785378933,0.569222390651703,0.569222390651703,1,0,30
eng_Latn-hau_Latn,devtest,804,0.201145946979523,0.421633034944534,0.421633034944534,1,0,31
eng_Latn-hau_Latn,devtest,29,0.201183125376701,0.43188402056694,0.43188402056694,1,0,32
eng_Latn-hau_Latn,devtest,580,0.203110709786415,0.504759550094604,0.504759550094604,1,0,33
eng_Latn-hau_Latn,devtest,818,0.203437849879265,0.170267522335052,0.203437849879265,0,1,34
eng_Latn-hau_Latn,devtest,432,0.204269677400589,0.646840989589691,0.646840989589691,1,0,35
eng_Latn-hau_Latn,devtest,241,0.205762520432472,0.376710206270218,0.376710206270218,1,0,36
eng_Latn-hau_Latn,devtest,68,0.207983538508415,0.367903530597687,0.367903530597687,1,0,37
eng_Latn-hau_Latn,devtest,842,0.210408315062523,0.36807045340538,0.36807045340538,1,0,38
eng_Latn-hau_Latn,devtest,465,0.211249232292175,0.156942695379257,0.211249232292175,0,1,39
eng_Latn-hau_Latn,devtest,474,0.21175679564476,0.245345816016197,0.245345816016197,1,0,40
eng_Latn-hau_Latn,devtest,343,0.212484359741211,0.216360598802567,0.216360598802567,1,0,41
eng_Latn-hau_Latn,devtest,812,0.21666032075882,0.559316754341125,0.559316754341125,1,0,42
eng_Latn-hau_Latn,devtest,906,0.217972323298454,0.474796742200851,0.474796742200851,1,0,43
eng_Latn-hau_Latn,devtest,111,0.219033777713776,0.823343813419342,0.823343813419342,1,0,44
eng_Latn-hau_Latn,devtest,399,0.219204410910606,0.788537085056305,0.788537085056305,1,0,45
eng_Latn-hau_Latn,devtest,506,0.219871431589127,0.594563245773315,0.594563245773315,1,0,46
eng_Latn-hau_Latn,devtest,762,0.220796912908554,0.316129714250565,0.316129714250565,1,0,47
eng_Latn-hau_Latn,devtest,33,0.222442641854286,0.656509041786194,0.656509041786194,1,0,48
eng_Latn-hau_Latn,devtest,543,0.226181134581566,0.268520504236221,0.268520504236221,1,0,49
eng_Latn-hau_Latn,devtest,791,0.22714452445507,0.393552452325821,0.393552452325821,1,0,50
eng_Latn-hau_Latn,devtest,367,0.227435201406479,0.337683498859406,0.337683498859406,1,0,51
eng_Latn-hau_Latn,devtest,604,0.228131175041199,0.712986826896667,0.712986826896667,1,0,52
eng_Latn-hau_Latn,devtest,200,0.230838552117348,0.643210172653198,0.643210172653198,1,0,53
eng_Latn-hau_Latn,devtest,825,0.23112191259861,0.528649687767029,0.528649687767029,1,0,54
eng_Latn-hau_Latn,devtest,616,0.231311783194542,0.60016655921936,0.60016655921936,1,0,55
eng_Latn-hau_Latn,devtest,464,0.231635734438896,0.798902332782745,0.798902332782745,1,0,56
eng_Latn-hau_Latn,devtest,456,0.231957525014877,0.677948713302612,0.677948713302612,1,0,57
eng_Latn-hau_Latn,devtest,636,0.232665628194809,0.509360551834106,0.509360551834106,1,0,58
eng_Latn-hau_Latn,devtest,992,0.236009806394577,0.436332225799561,0.436332225799561,1,0,59
eng_Latn-hau_Latn,devtest,141,0.23807629942894,0.583910286426544,0.583910286426544,1,0,60
eng_Latn-hau_Latn,devtest,1,0.23837748169899,0.838769972324371,0.838769972324371,1,0,61
eng_Latn-hau_Latn,devtest,369,0.24023911356926,0.468716502189636,0.468716502189636,1,0,62
eng_Latn-hau_Latn,devtest,789,0.24043844640255,0.722411155700684,0.722411155700684,1,0,63
eng_Latn-hau_Latn,devtest,511,0.240476161241531,0.530229568481445,0.530229568481445,1,0,64
eng_Latn-hau_Latn,devtest,724,0.242106273770332,0.577820301055908,0.577820301055908,1,0,65
eng_Latn-hau_Latn,devtest,735,0.242253363132477,0.590344309806824,0.590344309806824,1,0,66
eng_Latn-hau_Latn,devtest,475,0.243368417024612,0.352996528148651,0.352996528148651,1,0,67
eng_Latn-hau_Latn,devtest,603,0.244079738855362,0.669057965278625,0.669057965278625,1,0,68
eng_Latn-hau_Latn,devtest,35,0.244718909263611,0.947308659553528,0.947308659553528,1,0,69
eng_Latn-hau_Latn,devtest,849,0.246619358658791,0.371766656637192,0.371766656637192,1,0,70
eng_Latn-hau_Latn,devtest,809,0.249277353286743,0.91396152973175,0.91396152973175,1,0,71
eng_Latn-hau_Latn,devtest,201,0.249278470873833,0.741271615028381,0.741271615028381,1,0,72
eng_Latn-hau_Latn,devtest,866,0.249776810407639,0.427552372217178,0.427552372217178,1,0,73
eng_Latn-hau_Latn,devtest,387,0.250363856554031,0.736039280891418,0.736039280891418,1,0,74
eng_Latn-hau_Latn,devtest,536,0.250648826360703,0.303867876529694,0.303867876529694,1,0,75
